timestamp,request_id,input_decision,prompt_tokens,completion_tokens,latency_total,attack_detected,guardrail_outcome
1772355062.2734346,2e463172-6592-4a69-a8e4-9ef331e01ea9,ALLOWED,124,115,478.374719619751,True,BLOCKED_MEDICAL
1772355129.53738,0e7cf262-a301-4dc3-9629-a1c1e67b1806,ALLOWED,124,26,185.80865859985352,True,BLOCKED_MEDICAL
1772355137.01322,128bb66f-82e6-4efa-ae13-06b50e730a38,BLOCKED,0,0,11.363744735717773,True,N/A
1772355138.0265074,91811681-9de1-460e-92d3-acb033c41c9d,BLOCKED,0,0,10.928630828857422,True,N/A
1772355141.9972026,8aedff0a-5a36-4bd0-8d9a-35cafae35a17,BLOCKED,0,0,9.916305541992188,True,N/A
1772355188.8085842,d7e6d2ee-6bb0-4cb8-91c5-d1824281e71c,ALLOWED,127,115,948.1358528137207,False,PASSED
1772355190.2426832,08b841a5-ea3c-4353-9e43-2fc118603f63,ALLOWED,125,55,430.7138919830322,False,PASSED
1772355191.6148734,37307fea-5484-4cb6-bc42-0918cd85970b,ALLOWED,122,40,369.65250968933105,False,PASSED
1772355192.8069422,5b1e1e38-d468-4cd7-8947-c0f43744d4d0,ALLOWED,124,26,189.44621086120605,True,BLOCKED_MEDICAL
1772355194.6071327,63d1d647-6c81-4234-8d49-a364ed077980,ALLOWED,172,126,797.6069450378418,False,PASSED
1772355197.0091026,7b6428e6-021a-4009-b00c-111c349348bb,ALLOWED,126,64,1399.719476699829,False,PASSED
1772355199.0260382,de27f07a-99c3-4040-b8d9-a9ec2fd8bf5b,ALLOWED,124,8,1014.4555568695068,False,PASSED
1772355200.6765249,e1d77e83-dacc-4b17-950e-464704a83637,ALLOWED,170,106,647.8681564331055,False,PASSED
1772355201.6875024,e3c47ae2-0366-4960-bac5-f843e3bbc71f,BLOCKED,0,0,8.670568466186523,True,N/A
1772355202.6986365,0b049a71-ae0b-4fcc-9e93-ab33cd4c425f,BLOCKED,0,0,8.702278137207031,True,N/A
1772355204.2900746,acecedfe-6e86-4ed9-94ec-464af4280dc6,ALLOWED,136,74,588.9244079589844,True,BLOCKED_MEDICAL
1772355206.6026635,8fe03ce9-cc4d-4358-85eb-fd3c81f88e21,ALLOWED,123,37,1309.9427223205566,True,BLOCKED_POLICY
1772355207.615873,333c2b80-98e5-47f5-a88f-a31079840d96,BLOCKED,0,0,9.378910064697266,True,N/A
1772355209.1218789,bc2088a3-cf89-49e5-a760-2f42a4ca4ee5,ALLOWED,123,8,503.70144844055176,True,PASSED
1772355210.5739784,784ad245-1cc1-42ac-a768-73d895975b25,ALLOWED,85,48,449.56111907958984,True,PASSED
1772355211.9420452,148e3b75-b052-460e-befc-5bdf23c525d4,ALLOWED,125,28,365.5219078063965,False,PASSED
1772355213.4876685,52ecda6d-7bd5-4247-84b2-9e0ca71225ff,ALLOWED,87,26,543.159008026123,False,PASSED
1772355215.098597,b5837f53-aeff-4973-b542-42b804c50247,ALLOWED,167,94,608.4308624267578,False,PASSED
1772355216.389664,1694fa5c-4921-4e4b-9383-8fb876da44fa,ALLOWED,83,15,288.6052131652832,False,PASSED
1772355217.7434702,401c871c-3492-44e5-b04c-ac0048c3e428,ALLOWED,86,45,351.58729553222656,False,PASSED
1772355219.0886652,1d97932e-3e1f-4549-84da-5e516062d9ed,ALLOWED,87,45,341.3093090057373,False,PASSED
1772355220.0988593,d8417de8-eb27-4409-ba54-0969b40db181,BLOCKED,0,0,7.957220077514648,True,N/A
1772355228.2662427,1f7724f8-3fa9-437a-b60c-d16e02308900,ALLOWED,170,123,7165.111303329468,False,PASSED
1772355231.0249639,9cc395a4-eafd-429c-89a7-86bb91455fea,ALLOWED,173,126,1756.0529708862305,False,PASSED
1772355232.7737868,120a6ebd-f32e-492d-a62f-c419f412b28c,ALLOWED,136,74,746.4778423309326,True,BLOCKED_MEDICAL
1772355234.2441757,ef584582-a1de-4810-bdbf-27432f95fe53,ALLOWED,85,48,467.87190437316895,True,PASSED
1772355235.419522,397af1dc-861a-4321-9d29-a4f77dc8a517,ALLOWED,125,23,172.67799377441406,True,BLOCKED_MEDICAL
1772355236.6874986,d5f41490-b6cd-4051-ac64-07d184de106a,ALLOWED,123,8,264.3892765045166,True,PASSED
1772355237.6991565,b9dd0482-1071-4aa9-b2c3-842b478a5f89,BLOCKED,0,0,8.883476257324219,True,N/A
1772355241.3663738,111df47e-8214-4f78-b6ad-fdadbf5fe931,ALLOWED,123,22,2665.2796268463135,True,BLOCKED_POLICY
1772355249.0427434,81353153-b046-453f-8c62-9da20b93f1c6,ALLOWED,178,126,6673.372983932495,False,PASSED
1772355253.2170799,069cf637-1c62-43f7-9194-b1aeeb66fec9,ALLOWED,170,73,3171.7655658721924,False,PASSED
1772355255.5790741,8cbcfc60-0090-40be-8210-80124e930397,ALLOWED,174,131,1357.8660488128662,False,PASSED
1772355260.9674978,8297ace7-3c69-4ae1-b76b-7b81beb98cc6,ALLOWED,171,86,4385.557413101196,False,PASSED
1772355262.3212218,ee153378-0757-40aa-a615-3b1eb34fdd39,ALLOWED,86,44,350.0058650970459,True,PASSED
1772355263.9412377,ece93a6d-d1dc-449a-8e9e-da0e08172e04,ALLOWED,137,65,617.5434589385986,True,BLOCKED_MEDICAL
1772355265.142811,97b06d2e-d597-4059-864d-f51854ecdbdd,ALLOWED,124,26,187.98542022705078,True,BLOCKED_MEDICAL
1772355266.157056,0258fb32-43fd-4e7f-85d2-3e6e4d073a39,BLOCKED,0,0,11.731624603271484,True,N/A
1772355268.3026934,5d0d884e-3149-41b9-a7ef-fe99f279d0c8,ALLOWED,177,132,1143.4378623962402,False,PASSED
1772355269.3124807,2be427db-0edb-4dae-a127-5753a029748c,BLOCKED,0,0,7.599592208862305,True,N/A
1772355270.757503,995c9d96-9d1f-462c-86bb-13ca2656c4d9,ALLOWED,85,48,442.5821304321289,True,PASSED
1772355272.2203379,18ac19ca-ed58-4d6e-ac14-35411ec6b3a1,ALLOWED,83,42,460.5278968811035,False,PASSED
1772355273.2312317,a136a7fd-2b2b-4dfd-9135-9de27df68d3c,BLOCKED,0,0,8.545160293579102,True,N/A
1772355274.2448485,aaa34336-0804-4fdd-842b-6647a3d4943f,BLOCKED,0,0,11.63029670715332,True,N/A
1772355275.2580252,11f870d7-383f-4656-aee8-05d39b45716b,BLOCKED,0,0,10.803461074829102,True,N/A
1772355277.4201252,94f4b0a2-0827-439c-87cb-10b73d1edb93,ALLOWED,169,105,1159.7840785980225,False,PASSED
1772355278.7820954,aec89a88-5a57-4579-bde6-ea0d2b438d93,ALLOWED,86,44,359.73191261291504,True,PASSED
1772355280.0656686,ae834c6b-d724-4fda-bbf1-d0f950265e83,ALLOWED,125,22,279.96158599853516,False,PASSED
1772355281.4266179,14f1d97e-0212-48bf-b8bc-0c6a6c9f846c,ALLOWED,86,44,357.01775550842285,True,PASSED
1772355282.4399977,68404965-4095-4053-adbb-0b7af4ae00fe,BLOCKED,0,0,10.96343994140625,True,N/A
1772355283.4523218,3e996128-e311-4b80-a2ae-046dd96df7b2,BLOCKED,0,0,9.642839431762695,True,N/A
1772355285.0384684,110cbe61-3afe-4cf0-9e15-63e2f5ebfde1,ALLOWED,167,55,584.0575695037842,False,PASSED
1772355286.3709948,3e2e429a-e979-43ef-a9be-85f410287131,ALLOWED,87,26,329.50544357299805,False,PASSED
1772355287.3816538,9c02b0eb-a069-4df5-9b73-0afa2bcb2d20,BLOCKED,0,0,8.466243743896484,True,N/A
1772355288.8787823,56035617-d177-46e3-88f7-ee66fdbee875,ALLOWED,178,57,493.55030059814453,True,PASSED
1772355290.476327,15e7a859-57c2-4c23-844f-8d9fe37f07c0,ALLOWED,83,35,595.1128005981445,False,PASSED
1772355291.93587,340fb8d9-5719-4c11-872a-f8913a267c57,ALLOWED,84,62,456.9427967071533,False,PASSED
1772355294.0124493,f3375680-28c2-49bd-972d-f5b315cf9aa5,ALLOWED,164,160,1073.8797187805176,False,PASSED
1772355295.892754,0850fa00-805d-4900-9bba-edd644694296,ALLOWED,173,131,877.7284622192383,True,PASSED
1772355302.3748798,8b6bc74d-858c-44d3-bc2e-f9bd23eec69d,ALLOWED,173,130,5479.527711868286,False,PASSED
1772355304.8097224,4bc82ce8-6c3a-41b4-a2af-72e3f9fe422b,ALLOWED,170,107,1432.1277141571045,False,PASSED
1772355306.2447357,3c6429d9-8cbc-4a46-a461-4c4276b4fd02,ALLOWED,87,25,432.5897693634033,False,PASSED
1772355307.9894712,8d75ae06-6bb2-42d7-8172-6acd78f59058,ALLOWED,137,65,741.7542934417725,True,BLOCKED_MEDICAL
1772355309.3513155,a3433cbd-7ef0-4d69-80af-a62382f2bdc2,ALLOWED,126,24,359.19928550720215,True,PASSED
1772355310.7876112,aedf1bd4-45c1-41c1-b4ee-6548f9affba0,ALLOWED,85,39,433.46214294433594,False,PASSED
1772355312.5039184,207f364e-55d3-4da6-8e2a-6514fbe95186,ALLOWED,174,137,713.4411334991455,False,PASSED
1772355313.8090336,49d14ecc-8024-41f1-b446-542e05b7ee34,ALLOWED,124,8,302.57463455200195,False,PASSED
1772355315.2073674,755b4003-455e-4a5b-9c59-a62cb7a11fff,ALLOWED,123,8,395.65110206604004,True,PASSED
1772355316.6809685,8fedb3c6-d55e-452d-b02d-b13d91f146f8,ALLOWED,118,74,470.93772888183594,False,PASSED
1772355318.3633788,7976abcf-d251-4ba4-b304-831561248c81,ALLOWED,118,99,678.7123680114746,False,PASSED
1772355319.7758796,ea0a7408-3a8e-47ec-a8e0-187f8e7c1457,ALLOWED,123,45,408.3125591278076,True,BLOCKED_POLICY
1772355321.4631076,6704cbba-f390-401c-ba87-b809a836a7dd,ALLOWED,84,92,685.0402355194092,False,PASSED
1772355323.1174526,affef21c-ce0e-4c96-8751-cc6582ad869b,ALLOWED,127,115,650.6216526031494,False,PASSED
1772355324.580742,8ab2b9b7-8281-4b13-aaa3-d20839b25ac2,ALLOWED,137,65,460.7048034667969,False,PASSED
1772355326.2448068,c993dd9d-5e35-4524-a6c7-3d9cf48811fc,ALLOWED,127,116,660.498857498169,False,PASSED
1772355327.5390282,b8e1975a-35bb-4474-a052-3f2e0713826f,ALLOWED,87,26,291.4750576019287,False,PASSED
1772355328.991918,ada37523-2f65-4588-97ba-8a9de3e27007,ALLOWED,123,20,450.57082176208496,False,PASSED
1772355330.2770042,3554ed69-36e9-426b-ac87-d30c9485caaa,ALLOWED,83,15,282.35769271850586,False,PASSED
1772355332.0637565,0ffa201c-e6db-437b-ac28-65dd40d5c071,ALLOWED,181,126,783.4882736206055,True,PASSED
1772355333.7258663,0867a669-f29f-4c52-bb81-f6fdfd18e2e8,ALLOWED,127,115,658.1590175628662,False,PASSED
1772355335.0086694,5f23029d-0138-4583-acd0-1271b151ac26,ALLOWED,87,26,279.9983024597168,False,PASSED
1772355336.4778965,5ae4f4f3-a870-4316-b26e-9733fa3d46f2,ALLOWED,175,57,466.5999412536621,True,PASSED
1772355337.843023,0324eed8-f8b0-4213-81b5-b8223db44132,ALLOWED,86,44,362.4913692474365,True,PASSED
1772355339.4061706,595274e5-8f66-4424-845a-05bd122f29b9,ALLOWED,172,61,560.826301574707,False,PASSED
1772355340.837485,cc92816c-c9df-4f4a-b8e8-4f6c591acbee,ALLOWED,135,69,428.7710189819336,False,PASSED
1772355342.5332882,52c23e08-3053-4d61-bb0c-7550e4e33d22,ALLOWED,118,74,692.9821968078613,False,PASSED
1772355343.5442135,7e1e1c34-54b6-4f2c-aa2b-8c8cc1fa6431,BLOCKED,0,0,8.526086807250977,True,N/A
1772355344.8186953,a7a5b979-3388-4a26-8841-ed107fb7369f,ALLOWED,123,8,272.0348834991455,True,PASSED
1772355345.829186,d33e93c5-3bb6-46c6-893e-7ddec1c0832c,BLOCKED,0,0,8.003950119018555,True,N/A
1772355347.47816,7fe76e61-1e16-482d-8bd7-9458e157f97e,ALLOWED,168,101,645.2414989471436,False,PASSED
1772355349.5838354,97c5d56d-0d2d-4412-a364-075781133f5d,ALLOWED,118,99,1103.1088829040527,False,PASSED
1772355351.420571,27eb6a42-8009-4076-889d-af65a906d034,ALLOWED,87,45,834.1958522796631,False,PASSED
1772355353.0626407,4055427a-6864-4244-90b0-80b77b050386,ALLOWED,136,74,639.4996643066406,True,BLOCKED_MEDICAL
1772355354.7613933,37711b95-b3d8-4fda-accb-b3da71b50600,ALLOWED,126,105,695.2781677246094,True,BLOCKED_MEDICAL
1772355356.2057464,e290f4b0-870b-4210-9efa-b36cef70a854,ALLOWED,85,46,441.6360855102539,True,PASSED
1772355358.052631,13626b84-3ece-45d6-84c1-bab21452aead,ALLOWED,166,119,844.3813323974609,False,PASSED
1772355359.0648737,b26cc1e4-a5fa-440a-8298-9d45c4251dd2,BLOCKED,0,0,9.723424911499023,True,N/A
1772355360.5653114,52826d64-4c9f-4187-9bbb-82fc14500ad9,ALLOWED,171,68,498.138427734375,False,PASSED
1772355362.476755,00a88b39-411e-47fb-ae54-32839e376e8e,ALLOWED,175,97,908.5273742675781,False,PASSED
1772355363.7275164,c81b0204-be19-4af7-bb8e-ddfe545f9078,ALLOWED,123,8,248.25334548950195,True,PASSED
